,Condition,Stimulous,Answer Good,Answer
0,With Neuroscience Long,0,True,+1
0,With Neuroscience Long,0,False,+1
0,Without Neuroscience Short,0,False,-2
0,Without Neuroscience Short,0,True,+2
0,Without Neuroscience Long,1,True,+3
0,With Neuroscience Short,2,True,-2
0,With Neuroscience Long,2,False,-2
0,Without Neuroscience Short,0,True,+2
0,Without Neuroscience Short,0,True,+2
0,With Neuroscience Short,0,False,-2
0,Without Neuroscience Long,1,True,+3
0,Without Neuroscience Long,2,False,-2
0,With Neuroscience Long,1,True,+3
0,With Neuroscience Long,0,False,+1
0,With Neuroscience Short,1,False,+2
0,With Neuroscience Short,0,False,-2
0,Without Neuroscience Short,1,True,+3
0,Without Neuroscience Short,2,True,-2
0,Without Neuroscience Long,1,True,+2
0,With Neuroscience Short,2,True,+2
0,With Neuroscience Long,0,False,+1
0,With Neuroscience Long,0,True,+2
0,With Neuroscience Long,0,False,-2
0,With Neuroscience Short,0,True,+2
0,Without Neuroscience Short,0,False,-2
0,Without Neuroscience Short,0,False,-2
0,Without Neuroscience Long,1,False,+3
0,Without Neuroscience Long,2,True,-2
0,Without Neuroscience Short,0,True,+2
0,Without Neuroscience Long,2,True,-2
0,Without Neuroscience Long,1,True,+2
0,Without Neuroscience Long,1,False,+3
0,Without Neuroscience Short,2,True,-2
0,Without Neuroscience Short,1,False,-2
0,With Neuroscience Long,0,True,+2
0,With Neuroscience Long,0,False,-2
0,Without Neuroscience Long,1,True,+2
0,Without Neuroscience Short,2,False,-2
0,With Neuroscience Long,2,False,-2
0,Without Neuroscience Short,1,False,+2
0,Without Neuroscience Short,2,False,-3
0,Without Neuroscience Short,1,False,+2
0,With Neuroscience Long,2,False,-2
0,With Neuroscience Long,2,False,-2
0,With Neuroscience Short,0,False,-2
0,With Neuroscience Short,2,False,-2
0,Without Neuroscience Long,0,False,+1
0,With Neuroscience Short,1,True,+3
0,With Neuroscience Long,1,False,+3
0,Without Neuroscience Long,0,False,+1
0,Without Neuroscience Short,0,True,+2
0,With Neuroscience Short,0,True,+2
0,With Neuroscience Short,2,True,+2
0,With Neuroscience Long,1,False,+2
0,With Neuroscience Short,1,False,+2
0,With Neuroscience Long,2,True,+2
0,With Neuroscience Long,2,True,+2
0,With Neuroscience Long,0,True,+2
0,With Neuroscience Long,2,True,+2
0,Without Neuroscience Long,2,False,-2
0,With Neuroscience Short,0,False,-2
0,Without Neuroscience Short,2,False,-2
0,Without Neuroscience Long,1,True,+3
0,With Neuroscience Short,0,True,+2
0,With Neuroscience Short,1,False,+2
0,Without Neuroscience Long,0,True,+2
0,Without Neuroscience Long,2,True,-2
0,With Neuroscience Short,0,True,+2
0,Without Neuroscience Long,1,False,+3
0,With Neuroscience Short,2,True,+2
0,With Neuroscience Short,1,True,+3
0,With Neuroscience Long,2,True,+2
0,With Neuroscience Long,0,False,+1
0,Without Neuroscience Short,1,True,+3
0,With Neuroscience Long,2,True,-2
0,Without Neuroscience Long,1,False,+3
0,With Neuroscience Long,0,True,+2
0,With Neuroscience Long,1,True,+3
0,With Neuroscience Short,1,False,+3
0,Without Neuroscience Short,2,False,-2
0,With Neuroscience Long,0,True,+2
0,With Neuroscience Short,2,False,-2
0,With Neuroscience Long,2,False,-2
0,With Neuroscience Long,0,False,+1
0,With Neuroscience Short,2,False,-2
0,Without Neuroscience Short,2,True,-2
0,Without Neuroscience Long,1,True,+3
0,Without Neuroscience Long,1,False,+3
0,Without Neuroscience Long,2,True,-2
0,With Neuroscience Short,0,True,+2
0,With Neuroscience Short,0,False,-2
0,With Neuroscience Short,0,True,+2
0,Without Neuroscience Long,1,True,+3
0,Without Neuroscience Long,1,True,+2
0,With Neuroscience Long,1,False,+2
0,Without Neuroscience Short,1,True,+3
0,With Neuroscience Short,1,True,+3
0,With Neuroscience Long,1,True,+3
0,With Neuroscience Long,2,False,-2
0,With Neuroscience Long,1,False,+3
0,Without Neuroscience Long,0,False,-2
0,Without Neuroscience Long,2,True,-2
0,With Neuroscience Long,2,False,-2
0,Without Neuroscience Long,2,False,-2
0,Without Neuroscience Short,0,False,-2
0,Without Neuroscience Long,0,False,+2
0,Without Neuroscience Long,0,False,-2
0,Without Neuroscience Short,1,False,+2
0,Without Neuroscience Short,2,False,-2
0,Without Neuroscience Long,0,True,+2
0,Without Neuroscience Long,0,True,+2
0,With Neuroscience Long,1,False,+3
0,Without Neuroscience Long,2,False,-2
0,With Neuroscience Long,2,False,-2
0,With Neuroscience Short,2,False,-2
0,Without Neuroscience Long,0,False,+1
0,Without Neuroscience Short,1,False,+2
0,With Neuroscience Long,2,True,+2
0,With Neuroscience Short,1,False,+2
0,Without Neuroscience Short,1,False,+2
0,With Neuroscience Short,2,True,+2
0,Without Neuroscience Long,1,False,+3
0,Without Neuroscience Short,1,True,+2
0,With Neuroscience Short,0,True,+2
0,Without Neuroscience Long,0,True,+2
0,With Neuroscience Short,2,True,-2
0,With Neuroscience Long,0,True,+2
0,Without Neuroscience Long,2,True,-2
0,Without Neuroscience Long,1,True,+2
0,Without Neuroscience Short,0,True,+2
0,With Neuroscience Long,0,False,+1
0,With Neuroscience Short,1,False,+2
0,Without Neuroscience Short,1,True,+3
0,Without Neuroscience Long,0,True,+2
0,Without Neuroscience Short,0,True,+2
0,Without Neuroscience Short,1,False,+2
0,Without Neuroscience Long,2,True,-2
0,Without Neuroscience Long,0,True,+2
0,Without Neuroscience Short,2,False,-2
0,With Neuroscience Short,2,True,+2
0,Without Neuroscience Long,2,True,-2
0,With Neuroscience Long,0,True,+1
0,With Neuroscience Short,0,False,-2
0,Without Neuroscience Short,0,True,+2
0,Without Neuroscience Short,0,False,-2
0,With Neuroscience Long,1,True,+3
0,With Neuroscience Short,2,False,-2
0,Without Neuroscience Long,2,True,-2
0,With Neuroscience Short,2,False,-2
0,With Neuroscience Long,1,True,+3
0,With Neuroscience Long,1,True,+3
0,With Neuroscience Short,2,False,-2
0,Without Neuroscience Long,0,True,+2
0,Without Neuroscience Long,2,True,-2
0,With Neuroscience Short,1,True,+3
0,With Neuroscience Long,0,True,+2
0,Without Neuroscience Short,2,True,-2
0,Without Neuroscience Short,1,True,+2
0,Without Neuroscience Short,1,True,+3
0,With Neuroscience Long,0,False,-2
0,With Neuroscience Short,2,True,-2
0,With Neuroscience Long,1,True,+3
0,With Neuroscience Short,2,True,-2
0,With Neuroscience Short,2,False,-2
0,With Neuroscience Short,0,True,+2
0,Without Neuroscience Short,1,False,+2
0,With Neuroscience Short,2,True,-2
0,Without Neuroscience Short,1,True,+2
0,With Neuroscience Long,1,False,+3
0,Without Neuroscience Short,0,True,+2
0,With Neuroscience Long,1,True,+3
0,Without Neuroscience Long,1,True,+3
0,Without Neuroscience Long,1,True,+3
0,With Neuroscience Short,2,True,-2
0,With Neuroscience Long,0,True,+2
0,Without Neuroscience Short,0,False,-3
0,With Neuroscience Short,2,True,-2
0,With Neuroscience Long,0,False,-2
0,With Neuroscience Long,1,True,+3
0,Without Neuroscience Long,0,True,+2
0,With Neuroscience Long,1,False,+3
0,Without Neuroscience Short,2,True,-2
0,Without Neuroscience Short,1,False,+2
0,With Neuroscience Short,0,True,+2
0,With Neuroscience Long,1,False,+2
0,Without Neuroscience Long,2,True,-2
0,Without Neuroscience Long,0,False,+1
0,With Neuroscience Short,1,True,+3
0,Without Neuroscience Long,2,True,-2
0,Without Neuroscience Long,1,False,+3
0,Without Neuroscience Long,0,False,-2
0,With Neuroscience Long,0,True,+2
0,With Neuroscience Long,2,False,-2
0,With Neuroscience Short,2,True,+2
0,Without Neuroscience Short,2,True,-2
0,With Neuroscience Short,1,False,+2
0,With Neuroscience Long,2,False,-2
0,With Neuroscience Long,2,True,+2
0,With Neuroscience Short,0,False,-2
0,With Neuroscience Short,0,True,+2
0,With Neuroscience Short,2,True,+2
0,With Neuroscience Long,1,True,+3
0,Without Neuroscience Long,0,False,+1
0,Without Neuroscience Long,0,True,+2
0,Without Neuroscience Long,2,False,-2
0,Without Neuroscience Short,1,False,+2
0,With Neuroscience Long,0,False,+1
0,With Neuroscience Short,1,False,+3
0,Without Neuroscience Short,0,False,-3
0,With Neuroscience Short,0,False,-2
0,With Neuroscience Short,0,False,-2
0,With Neuroscience Short,1,True,+3
0,With Neuroscience Long,2,True,+2
0,Without Neuroscience Short,1,False,+2
0,Without Neuroscience Long,1,False,+3
0,With Neuroscience Short,2,False,-2
0,Without Neuroscience Short,2,False,-2
0,With Neuroscience Long,1,False,+2
0,Without Neuroscience Short,2,True,-2
0,Without Neuroscience Long,0,False,+1
0,Without Neuroscience Short,0,True,+2
0,Without Neuroscience Short,1,False,+2
0,With Neuroscience Short,2,True,-2
0,Without Neuroscience Long,0,True,+2
0,With Neuroscience Long,0,True,+2
0,Without Neuroscience Short,0,True,+2
0,Without Neuroscience Long,0,False,+1
0,With Neuroscience Short,0,True,+2
0,Without Neuroscience Short,2,True,-2
0,With Neuroscience Short,0,False,-2
0,With Neuroscience Long,0,True,+2
0,With Neuroscience Long,2,True,-2
0,Without Neuroscience Short,0,False,-3
0,Without Neuroscience Short,1,True,+3
0,Without Neuroscience Long,1,False,+3
0,Without Neuroscience Long,1,False,+3
0,With Neuroscience Short,1,False,+2
0,With Neuroscience Short,2,False,-2
0,Without Neuroscience Short,0,True,+2
0,With Neuroscience Short,2,False,-2
0,Without Neuroscience Long,0,False,+1
0,With Neuroscience Long,2,True,+2
0,Without Neuroscience Short,2,False,-2
0,Without Neuroscience Long,0,False,-2
0,With Neuroscience Short,0,False,-2
0,With Neuroscience Long,0,False,+1
0,Without Neuroscience Short,2,False,-2
0,With Neuroscience Short,2,True,-2
0,With Neuroscience Long,0,True,+2
0,With Neuroscience Short,0,True,+2
0,With Neuroscience Long,0,True,+2
0,Without Neuroscience Short,1,True,+3
0,Without Neuroscience Short,1,False,+2
0,Without Neuroscience Short,1,False,+2
0,With Neuroscience Short,0,False,-2
0,With Neuroscience Long,2,True,+2
0,Without Neuroscience Short,0,False,-3
0,Without Neuroscience Long,2,True,-2
0,Without Neuroscience Short,1,True,+3
0,Without Neuroscience Short,1,False,+2
0,With Neuroscience Short,0,True,+2
0,With Neuroscience Short,2,True,-2
0,With Neuroscience Long,0,True,+2
0,Without Neuroscience Long,1,True,+2
0,With Neuroscience Long,0,False,-2
